Realm,Guild_Name,Year,Quarter,Operating_Income,EBITDA,Tax,Net_Income,GOGS
Bazaar of Forgotten Wishes,Bazaar of the Seven Veils Trading Co.,718,4,8793.95,12968.23,2342.21,6451.74,37351.61
Vale of the Copper Moon,Order of the Flying Carpet Caravans,717,1,11311.1,14431.13,3021.02,8290.08,33861.24
Vale of the Copper Moon,Order of the Flying Carpet Caravans,717,2,4357.7,6715.25,962.02,3395.68,14938.73
Vale of the Copper Moon,Order of the Flying Carpet Caravans,717,3,12203.69,18912.53,2630.73,9572.96,52860.18
Vale of the Copper Moon,Order of the Flying Carpet Caravans,717,4,13116.74,16378.14,2871.85,10244.89,49902.83
Vale of the Copper Moon,Order of the Flying Carpet Caravans,718,1,4916.8,5760.6,1006.42,3910.38,12007.18
Vale of the Copper Moon,Order of the Flying Carpet Caravans,718,2,16052.08,19323.17,3787.16,12264.92,45715.44
Vale of the Copper Moon,Order of the Flying Carpet Caravans,718,3,11719.05,13809.27,2440.12,9278.93,42108.28
Vale of the Copper Moon,Order of the Flying Carpet Caravans,718,4,3701.49,4430.87,579.78,3121.71,12454.79
Isle of the Roc's Nest,Scheherazade Metalworks,717,1,3020.67,4821.96,685.9,2334.77,8903.47
Isle of the Roc's Nest,Scheherazade Metalworks,717,2,15238.41,22600.0,2621.55,12616.86,51039.77
Isle of the Roc's Nest,Scheherazade Metalworks,717,3,12706.2,17644.87,2387.94,10318.26,45685.25
Isle of the Roc's Nest,Scheherazade Metalworks,717,4,5203.01,6053.17,1100.95,4102.06,17743.2
Isle of the Roc's Nest,Scheherazade Metalworks,718,1,13316.64,19733.64,2550.65,10765.99,56874.1
Isle of the Roc's Nest,Scheherazade Metalworks,718,2,2613.14,3095.24,613.11,2000.03,5897.82
Isle of the Roc's Nest,Scheherazade Metalworks,718,3,16053.9,22641.71,3699.01,12354.89,59357.85
Isle of the Roc's Nest,Scheherazade Metalworks,718,4,7423.45,11379.02,1511.42,5912.03,20701.98
Dune of a Thousand Mirages,House of the Roc's Feather,717,1,19061.54,29532.16,3961.6,15099.94,57557.57
Dune of a Thousand Mirages,House of the Roc's Feather,717,2,12274.35,15623.35,2010.65,10263.7,45659.68
Dune of a Thousand Mirages,House of the Roc's Feather,717,3,15173.44,19858.3,2830.85,12342.59,58827.96
Dune of a Thousand Mirages,House of the Roc's Feather,717,4,20648.5,32474.78,4544.12,16104.38,62922.65
Dune of a Thousand Mirages,House of the Roc's Feather,718,1,17960.13,25287.03,4383.8,13576.33,73385.66
Dune of a Thousand Mirages,House of the Roc's Feather,718,2,18209.57,26957.36,4358.53,13851.04,70743.57
Dune of a Thousand Mirages,House of the Roc's Feather,718,3,12165.62,15245.35,3008.19,9157.43,43761.22
Dune of a Thousand Mirages,House of the Roc's Feather,718,4,14392.64,19318.43,3999.59,10393.05,46075.39
Sultanate of the Amber Dunes,Forty Thieves Foundry,717,1,3086.71,4737.4,834.91,2251.8,11488.48
Sultanate of the Amber Dunes,Forty Thieves Foundry,717,2,3077.89,4577.34,538.86,2539.03,12670.13
Sultanate of the Amber Dunes,Forty Thieves Foundry,717,3,10107.86,14626.17,2575.2,7532.66,36047.15
Sultanate of the Amber Dunes,Forty Thieves Foundry,717,4,19989.44,26197.99,4434.34,15555.1,49352.68
Sultanate of the Amber Dunes,Forty Thieves Foundry,718,1,4239.51,5438.07,726.99,3512.52,10013.14
Sultanate of the Amber Dunes,Forty Thieves Foundry,718,2,21234.04,25181.69,3898.52,17335.52,46031.62
Sultanate of the Amber Dunes,Forty Thieves Foundry,718,3,5901.87,8592.97,1588.77,4313.1,17300.62
Sultanate of the Amber Dunes,Forty Thieves Foundry,718,4,14211.39,19717.4,2484.55,11726.84,42257.01
Grove of the Singing Palms,Lamp & Anvil Trading House,717,1,7144.34,9239.82,1710.72,5433.62,19340.32
Grove of the Singing Palms,Lamp & Anvil Trading House,717,2,17509.81,25888.28,4532.58,12977.23,76886.71
Grove of the Singing Palms,Lamp & Anvil Trading House,717,3,21729.61,31547.17,3318.24,18411.37,78721.92
Grove of the Singing Palms,Lamp & Anvil Trading House,717,4,4227.88,5127.96,892.5,3335.38,13861.9
Grove of the Singing Palms,Lamp & Anvil Trading House,718,1,16948.99,20305.57,4315.09,12633.9,47922.27
Grove of the Singing Palms,Lamp & Anvil Trading House,718,2,26713.19,38882.39,6465.07,20248.12,108425.98
Grove of the Singing Palms,Lamp & Anvil Trading House,718,3,17831.34,23235.38,4638.54,13192.8,63303.01
Grove of the Singing Palms,Lamp & Anvil Trading House,718,4,6722.97,8293.13,1746.25,4976.72,21359.29
Reef of the Drowned Lamp,Sindbad Maritime Ventures,717,1,10397.5,15947.67,2687.17,7710.33,44231.95
Reef of the Drowned Lamp,Sindbad Maritime Ventures,717,2,12661.72,17092.9,2941.81,9719.91,41280.15
Reef of the Drowned Lamp,Sindbad Maritime Ventures,717,3,2831.64,4043.09,492.6,2339.04,10728.61
Reef of the Drowned Lamp,Sindbad Maritime Ventures,717,4,10400.12,13564.33,2631.57,7768.55,26787.19
Reef of the Drowned Lamp,Sindbad Maritime Ventures,718,1,13424.21,19749.33,3555.19,9869.02,40117.63
Reef of the Drowned Lamp,Sindbad Maritime Ventures,718,2,13804.55,20941.44,2580.54,11224.01,52879.46
Reef of the Drowned Lamp,Sindbad Maritime Ventures,718,3,9509.93,11223.86,1693.48,7816.45,24977.72
Reef of the Drowned Lamp,Sindbad Maritime Ventures,718,4,2989.81,4741.42,566.6,2423.21,11876.45
Citadel of Seven Veils,Palace of a Thousand Nights Enterprises,717,1,11149.09,16527.36,2979.82,8169.27,52349.1
Citadel of Seven Veils,Palace of a Thousand Nights Enterprises,717,2,20349.12,29267.96,3975.65,16373.47,77505.87
Citadel of Seven Veils,Palace of a Thousand Nights Enterprises,717,3,27474.1,33346.36,4481.48,22992.62,91012.15
Citadel of Seven Veils,Palace of a Thousand Nights Enterprises,717,4,4089.11,6185.8,911.7,3177.41,17623.89
Citadel of Seven Veils,Palace of a Thousand Nights Enterprises,718,1,12478.53,18457.1,3477.19,9001.34,57274.79
Citadel of Seven Veils,Palace of a Thousand Nights Enterprises,718,2,8883.7,13835.05,2271.13,6612.57,41019.58
Citadel of Seven Veils,Palace of a Thousand Nights Enterprises,718,3,22643.27,32521.09,5491.03,17152.24,66881.4
Citadel of Seven Veils,Palace of a Thousand Nights Enterprises,718,4,12053.56,19039.01,2221.34,9832.22,56950.72
Wellspring of Silver Sands,Genie's Bargain Mercantile,717,1,13821.27,20642.96,3659.57,10161.7,44640.04
Wellspring of Silver Sands,Genie's Bargain Mercantile,717,2,18701.3,29585.13,3345.94,15355.36,76230.25
Wellspring of Silver Sands,Genie's Bargain Mercantile,717,3,8220.41,10338.36,1353.92,6866.49,30391.94
Wellspring of Silver Sands,Genie's Bargain Mercantile,717,4,15912.03,18816.23,3783.72,12128.31,42295.56
Wellspring of Silver Sands,Genie's Bargain Mercantile,718,1,9151.28,13509.33,1427.29,7723.99,34060.82
Wellspring of Silver Sands,Genie's Bargain Mercantile,718,2,11047.93,17442.14,2819.13,8228.8,34523.79
Wellspring of Silver Sands,Genie's Bargain Mercantile,718,3,12958.44,15142.39,3614.79,9343.65,31442.94
Wellspring of Silver Sands,Genie's Bargain Mercantile,718,4,9544.82,11094.6,2463.16,7081.66,26728.2
Minaret of the Wandering Star,Marid Steelcraft Union,717,1,14496.81,19527.74,3735.84,10760.97,52651.69
Minaret of the Wandering Star,Marid Steelcraft Union,717,2,9511.22,12540.72,1872.77,7638.45,38348.88
Minaret of the Wandering Star,Marid Steelcraft Union,717,3,11031.62,16107.48,2072.38,8959.24,48753.36
Minaret of the Wandering Star,Marid Steelcraft Union,717,4,18355.95,23796.98,3985.71,14370.24,74498.7
Minaret of the Wandering Star,Marid Steelcraft Union,718,1,10751.88,12644.02,1855.35,8896.53,34782.14
Minaret of the Wandering Star,Marid Steelcraft Union,718,2,4185.03,6561.03,1045.8,3139.23,13829.1
Minaret of the Wandering Star,Marid Steelcraft Union,718,3,20269.41,28734.22,4097.58,16171.83,66265.77
Minaret of the Wandering Star,Marid Steelcraft Union,718,4,10937.78,15463.94,1942.0,8995.78,45927.81
Cavern of the Forty Echoes,Ifrit Furnace Collective,717,1,3729.65,4591.29,844.8,2884.85,13645.25
Cavern of the Forty Echoes,Ifrit Furnace Collective,717,2,9529.36,12667.9,2019.36,7510.0,23866.32
Cavern of the Forty Echoes,Ifrit Furnace Collective,717,3,12114.63,17806.19,2536.75,9577.88,55430.44
Cavern of the Forty Echoes,Ifrit Furnace Collective,717,4,11019.52,13068.97,1740.55,9278.97,36051.68
Cavern of the Forty Echoes,Ifrit Furnace Collective,718,1,15353.67,20521.82,3424.85,11928.82,57165.35
Cavern of the Forty Echoes,Ifrit Furnace Collective,718,2,13372.77,16090.86,2555.41,10817.36,34842.24
Cavern of the Forty Echoes,Ifrit Furnace Collective,718,3,8388.09,11422.72,2185.69,6202.4,35148.18
Cavern of the Forty Echoes,Ifrit Furnace Collective,718,4,9932.25,11641.95,2572.92,7359.33,25330.16
Garden of the Midnight Rose,Vizier's Ledger & Ore Co.,717,1,21215.23,33808.66,3787.87,17427.36,74140.97
Garden of the Midnight Rose,Vizier's Ledger & Ore Co.,717,2,16112.81,21554.69,4413.17,11699.64,43701.01
Garden of the Midnight Rose,Vizier's Ledger & Ore Co.,717,3,9219.22,10888.03,2522.35,6696.87,34449.55
Garden of the Midnight Rose,Vizier's Ledger & Ore Co.,717,4,27917.99,43908.76,6583.3,21334.69,134875.62
Garden of the Midnight Rose,Vizier's Ledger & Ore Co.,718,1,9656.96,14964.25,2162.23,7494.73,38558.99
Garden of the Midnight Rose,Vizier's Ledger & Ore Co.,718,2,22225.97,31065.01,4188.48,18037.49,84732.09
Garden of the Midnight Rose,Vizier's Ledger & Ore Co.,718,3,26286.19,31023.7,6247.18,20039.01,86028.88
Garden of the Midnight Rose,Vizier's Ledger & Ore Co.,718,4,26873.95,32785.41,4700.65,22173.3,64796.46
Straits of the Bottled Storm,Caliphate Caravan Consortium,717,1,8714.98,12204.04,1648.62,7066.36,38557.24
Straits of the Bottled Storm,Caliphate Caravan Consortium,717,2,6546.43,9343.22,1371.68,5174.75,28670.56
Straits of the Bottled Storm,Caliphate Caravan Consortium,717,3,7471.57,11408.69,2064.72,5406.85,27604.2
Straits of the Bottled Storm,Caliphate Caravan Consortium,717,4,16872.86,20336.94,3207.45,13665.41,59704.72
Straits of the Bottled Storm,Caliphate Caravan Consortium,718,1,17548.67,22007.52,4398.82,13149.85,68876.95
Straits of the Bottled Storm,Caliphate Caravan Consortium,718,2,7422.99,9255.21,1533.89,5889.1,27875.4
Straits of the Bottled Storm,Caliphate Caravan Consortium,718,3,20546.24,32699.62,3835.0,16711.24,102953.84
Straits of the Bottled Storm,Caliphate Caravan Consortium,718,4,14155.73,19121.02,3759.0,10396.73,42081.43
Highlands of the Ember Djinn,Ali Baba Mining Cooperative,717,1,21707.19,34305.83,3424.0,18283.19,98889.01
Highlands of the Ember Djinn,Ali Baba Mining Cooperative,717,2,18139.34,22704.19,3499.31,14640.03,66103.54
Highlands of the Ember Djinn,Ali Baba Mining Cooperative,717,3,4130.47,4893.17,697.78,3432.69,10642.43
Highlands of the Ember Djinn,Ali Baba Mining Cooperative,717,4,6529.13,9096.24,1715.7,4813.43,25428.45
Highlands of the Ember Djinn,Ali Baba Mining Cooperative,718,1,17128.38,22564.58,4277.93,12850.45,61931.5
Highlands of the Ember Djinn,Ali Baba Mining Cooperative,718,2,29223.93,42110.66,5166.43,24057.5,120025.11
Highlands of the Ember Djinn,Ali Baba Mining Cooperative,718,3,20449.22,25356.27,5602.33,14846.89,78289.42
Highlands of the Ember Djinn,Ali Baba Mining Cooperative,718,4,8591.25,12384.66,1556.18,7035.07,22410.2
Delta of the Painted Serpent,Enchanted Bazaar Holdings,717,1,3698.19,5464.0,956.49,2741.7,15834.61
Delta of the Painted Serpent,Enchanted Bazaar Holdings,717,2,21192.49,32189.75,5871.6,15320.89,88857.92
Delta of the Painted Serpent,Enchanted Bazaar Holdings,717,3,16861.07,22160.45,3332.86,13528.21,65391.33
Delta of the Painted Serpent,Enchanted Bazaar Holdings,717,4,22642.8,31173.59,3774.62,18868.18,72473.62
Delta of the Painted Serpent,Enchanted Bazaar Holdings,718,1,8893.18,11066.15,2009.59,6883.59,21645.38
Delta of the Painted Serpent,Enchanted Bazaar Holdings,718,2,20086.18,28074.04,5370.75,14715.43,79307.98
Delta of the Painted Serpent,Enchanted Bazaar Holdings,718,3,9708.37,13142.62,1626.6,8081.77,24200.01
Delta of the Painted Serpent,Enchanted Bazaar Holdings,718,4,18358.32,27068.84,4765.54,13592.78,52635.92
Oasis of the Marid's Tears,Ruby of the Desert Trading Guild,717,1,4852.03,5621.15,1097.09,3754.94,16684.53
Oasis of the Marid's Tears,Ruby of the Desert Trading Guild,717,2,14804.6,17402.83,2244.79,12559.81,43015.06
Oasis of the Marid's Tears,Ruby of the Desert Trading Guild,717,3,13086.82,15836.95,2996.02,10090.8,35167.27
Oasis of the Marid's Tears,Ruby of the Desert Trading Guild,717,4,2286.3,3353.84,446.58,1839.72,7696.97
Oasis of the Marid's Tears,Ruby of the Desert Trading Guild,718,1,14380.04,20633.55,3829.74,10550.3,54090.46
Oasis of the Marid's Tears,Ruby of the Desert Trading Guild,718,2,3713.59,5612.3,580.55,3133.04,11099.45
Oasis of the Marid's Tears,Ruby of the Desert Trading Guild,718,3,12239.97,15799.12,2872.43,9367.54,30184.35
Oasis of the Marid's Tears,Ruby of the Desert Trading Guild,718,4,8657.61,13509.75,1949.34,6708.27,31380.01
Kingdom of the Turquoise Veil,Moonlit Minaret Metalworks,717,1,6845.06,7901.94,1901.85,4943.21,19141.53
Kingdom of the Turquoise Veil,Moonlit Minaret Metalworks,717,2,2417.26,3568.71,581.18,1836.08,6484.2
Kingdom of the Turquoise Veil,Moonlit Minaret Metalworks,717,3,10667.41,16330.25,2484.41,8183.0,41551.72
Kingdom of the Turquoise Veil,Moonlit Minaret Metalworks,717,4,3844.09,4905.17,918.96,2925.13,13018.5
Kingdom of the Turquoise Veil,Moonlit Minaret Metalworks,718,1,13785.36,16906.35,2333.17,11452.19,52888.56
Kingdom of the Turquoise Veil,Moonlit Minaret Metalworks,718,2,13293.16,17215.13,2812.23,10480.93,32305.16
Kingdom of the Turquoise Veil,Moonlit Minaret Metalworks,718,3,12090.77,16530.81,2905.6,9185.17,44947.76
Kingdom of the Turquoise Veil,Moonlit Minaret Metalworks,718,4,11944.82,18182.93,2394.72,9550.1,33004.14
Sands of the Whispering Scroll,Silk Route Sultanate Corp.,717,1,5542.38,7964.85,1220.07,4322.31,24652.64
Sands of the Whispering Scroll,Silk Route Sultanate Corp.,717,2,8013.96,9796.55,1720.55,6293.41,26332.32
Sands of the Whispering Scroll,Silk Route Sultanate Corp.,717,3,23044.86,35048.69,3658.18,19386.68,78762.45
Sands of the Whispering Scroll,Silk Route Sultanate Corp.,717,4,16241.65,21031.64,3439.53,12802.12,40805.0
Sands of the Whispering Scroll,Silk Route Sultanate Corp.,718,1,17655.99,25715.69,2871.76,14784.23,51687.24
Sands of the Whispering Scroll,Silk Route Sultanate Corp.,718,2,10406.92,13645.61,1949.29,8457.63,28589.42
Sands of the Whispering Scroll,Silk Route Sultanate Corp.,718,3,20269.74,24005.6,4009.7,16260.04,51556.19
Sands of the Whispering Scroll,Silk Route Sultanate Corp.,718,4,26190.89,30923.58,4433.38,21757.51,60833.17
Palisade of the Golden Ifrit,Whispering Dunes Foundry,717,1,2312.78,3293.08,465.59,1847.19,6374.49
Palisade of the Golden Ifrit,Whispering Dunes Foundry,717,2,9654.1,13382.31,2289.13,7364.97,26864.88
Palisade of the Golden Ifrit,Whispering Dunes Foundry,717,3,14846.29,18603.5,2533.86,12312.43,43395.12
Palisade of the Golden Ifrit,Whispering Dunes Foundry,717,4,9293.28,10951.9,1511.54,7781.74,20101.33
Palisade of the Golden Ifrit,Whispering Dunes Foundry,718,1,11856.56,14013.53,2771.88,9084.68,43593.65
Palisade of the Golden Ifrit,Whispering Dunes Foundry,718,2,5278.93,6978.03,1105.87,4173.06,18730.0
Palisade of the Golden Ifrit,Whispering Dunes Foundry,718,3,13442.38,17580.44,2075.36,11367.02,31681.45
Palisade of the Golden Ifrit,Whispering Dunes Foundry,718,4,2867.85,4419.73,475.59,2392.26,12693.27
Coast of the Enchanted Compass,Emerald Oasis Industries,717,1,23847.41,30227.42,4997.76,18849.65,86192.14
Coast of the Enchanted Compass,Emerald Oasis Industries,717,2,6807.46,8805.49,1498.36,5309.1,26305.94
Coast of the Enchanted Compass,Emerald Oasis Industries,717,3,21451.39,28773.04,5169.35,16282.04,53749.44
Coast of the Enchanted Compass,Emerald Oasis Industries,717,4,19267.38,23873.93,4837.11,14430.27,75736.42
Coast of the Enchanted Compass,Emerald Oasis Industries,718,1,21207.93,27109.26,3400.72,17807.21,55414.42
Coast of the Enchanted Compass,Emerald Oasis Industries,718,2,26644.07,42020.74,4994.48,21649.59,134447.79
Coast of the Enchanted Compass,Emerald Oasis Industries,718,3,6083.71,7657.68,923.54,5160.17,23716.22
Coast of the Enchanted Compass,Emerald Oasis Industries,718,4,21472.42,27427.83,3923.68,17548.74,80056.95
